,MORT_30_AMI,MORT_30_CABG,MORT_30_COPD,MORT_30_HF,MORT_30_PN,MORT_30_STK,READM_30_AMI,READM_30_CABG,READM_30_COPD,READM_30_HF,READM_30_HIP_KNEE,READM_30_HOSP_WIDE,READM_30_PN,READM_30_STK,Hospital Name,State,Region,Location,Latitude,Longitude,Predicted State,Predicted Region
743,13.6714285714,12.7571428571,8.29285714286,12.3785714286,16.3571428571,15.7785714286,14.9857142857,13.7928571429,19.1,21.3142857143,10.5142857143,15.3714285714,16.6714285714,13.3928571429,MEMORIAL HOSPITAL,OH,Midwest,"715 SOUTH TAFT AVENUE
FREMONT, OH 43420
(41.340278, -83.135216)",41.340278,-83.135216,PA,Midwest
3636,13.5,3.5,9.8,13.9,17.9,19.2,16.7,17.3,20.4,22.3,3.7,15.8,16.6,12.3,TRINITY HOSPITALS,ND,West,"407 3RD ST SE
MINOT, ND 58701
(48.231756, -101.28847)",48.231756,-101.28847,CA,South
712,13.6714285714,12.7571428571,8.29285714286,12.3785714286,16.3571428571,15.7785714286,14.9857142857,13.7928571429,19.1,21.3142857143,10.5142857143,15.3714285714,16.6714285714,13.3928571429,MEMORIAL HOSPITAL,TX,South,"1204 MOUND ST
NACOGDOCHES, TX 75961
(31.612411, -94.649469)",31.612411,-94.649469,PA,Midwest
1590,14.85,11.8,7.725,12.05,15.425,15.825,16.8,12.25,20.875,22.175,10.35,16.025,17.075,14.4,NORTHWEST MEDICAL CENTER,AZ,West,"705 N COLLEGE STREET
ALBANY, MO 64402
(40.252124, -94.325476)",40.252124,-94.325476,AL,Midwest
1086,13.7,7.2,7.2,11.5,19.4,16.0,16.6,18.5,20.5,22.6,4.2,16.2,16.6,13.0,CHARLES COLE MEMORIAL HOSPITAL,PA,Mid-Atlantic,"1001 EAST SECOND STREET
COUDERSPORT, PA 16915
(41.770442, -77.97935)",41.770442,-77.97935,PA,South
2350,13.7,14.1,7.8,10.7,15.1,11.2,16.8,4.6,20.0,23.4,4.2,15.7,18.7,11.4,NORTHERN WESTCHESTER HOSPITAL,NY,Mid-Atlantic,"400 EAST MAIN STREET
MOUNT KISCO, NY 10549
(41.196692, -73.724449)",41.196692,-73.724449,FL,South
1362,14.35,13.175,12.75,13.875,16.125,13.175,16.95,16.375,18.45,20.175,9.45,15.575,16.125,14.075,HOLY CROSS HOSPITAL,AZ,West,"1500 FOREST GLEN ROAD
SILVER SPRING, MD 20910
(39.016055, -77.034198)",39.016055,-77.034198,IL,Midwest
4528,12.7,21.7,7.5,11.9,17.1,17.1,16.9,22.1,20.7,24.4,6.6,17.6,20.0,15.0,RESTON HOSPITAL CENTER,VA,Mid-Atlantic,"1850 TOWN CENTER PARKWAY
RESTON, VA 20190
(38.961925, -77.362633)",38.961925,-77.362633,NY,Mid-Atlantic
4372,14.0,3.9,10.3,16.3,19.3,16.1,18.8,15.6,23.2,25.2,4.7,17.4,19.5,12.7,ST BERNARDS MEDICAL CENTER,AR,South,"225 E JACKSON
JONESBORO, AR 72401
(35.837478, -90.702142)",35.837478,-90.702142,NY,South
3109,4.7,15.4,8.5,12.4,15.5,15.5,15.4,4.3,21.7,20.8,4.3,15.5,18.1,12.2,PROMEDICA HERRICK HOSPITAL,MI,Midwest,"500 E POTTAWATAMIE STREET
TECUMSEH, MI 49286
(42.002913, -83.937428)",42.002913,-83.937428,TX,Midwest
3113,13.8,11.7,7.4,10.7,14.7,16.6,17.3,5.1,17.5,19.8,4.6,14.3,16.9,12.5,SAINT MARY'S HEALTH CARE,MI,Midwest,"200 JEFFERSON AVENUE SE
GRAND RAPIDS, MI 49503
(42.958252, -85.664114)",42.958252,-85.664114,TX,Midwest
3388,20.6,16.5,6.8,12.8,16.8,14.1,4.4,16.5,19.0,22.0,18.3,15.3,16.5,13.0,ALLIANCEHEALTH BLACKWELL,OK,Midwest,"710 SOUTH 13TH STREET
BLACKWELL, OK 74631
(36.797384, -97.300891)",36.797384,-97.300891,PA,South
1549,14.6,3.0,7.7,11.8,15.6,18.5,17.0,14.4,19.2,20.5,4.4,15.7,17.0,11.6,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,AZ,West,"1111 EAST MCDOWELL ROAD
PHOENIX, AZ 85006
(33.465724, -112.058127)",33.465724,-112.058127,PA,Midwest
2458,24.6,13.4,13.6,12.5,12.5,13.4,12.5,13.4,12.5,12.5,13.4,24.6,24.6,12.1,UNIVERSITY OF MARYLAND HARFORD MEMORIAL HOSPITAL,MD,Mid-Atlantic,"501 SOUTH UNION AVENUE
HAVRE DE GRACE, MD 21078
(39.54348, -76.091528)",39.54348,-76.091528,TX,South
2055,11.8,8.1,7.9,11.65,15.95,16.3,16.8,12.05,19.35,21.65,6.15,15.5,17.05,15.15,PERRY COUNTY MEMORIAL HOSPITAL,MO,Midwest,"434 NORTH WEST STREET
PERRYVILLE, MO 63775
(37.731747, -89.864812)",37.731747,-89.864812,PA,Midwest
36,13.0,9.8,11.9,12.4,15.5,10.0,8.9,7.6,4.7,10.0,4.4,15.2,16.4,22.4,MCLEOD MEDICAL CENTER - DARLINGTON,SC,South,"701 CASHUA FERRY ROAD
DARLINGTON, SC 29540
(34.312979, -79.838273)",34.312979,-79.838273,TX,West
2620,13.0,15.9,8.4,13.3,16.5,13.9,15.5,9.2,20.4,22.6,4.7,15.4,17.2,11.6,LOS ALAMITOS MEDICAL CENTER,CA,West,"3751 KATELLA AVENUE
LOS ALAMITOS, CA 90720
(33.803175, -118.067413)",33.803175,-118.067413,PA,South
4309,15.5,18.5,7.9,12.2,14.4,12.9,15.7,15.5,19.6,21.3,15.5,15.3,16.8,22.5,WILLS MEMORIAL HOSPITAL,GA,South,"120 GORDON STREET
WASHINGTON, GA 30673
(33.729302, -82.742388)",33.729302,-82.742388,IA,Midwest
4399,17.1,12.9,8.0,13.4,15.2,17.8,16.8,15.6,17.4,20.4,3.9,13.5,14.6,12.1,MAINEGENERAL MEDICAL CENTER,ME,New England,"35 MEDICAL CENTER PARKWAY
AUGUSTA, ME 04330
(44.360855, -69.785707)",44.360855,-69.785707,NC,West
2284,13.9,15.2,8.9,11.5,19.3,16.8,17.7,22.8,19.9,23.3,4.6,17.5,20.4,13.3,FLUSHING HOSPITAL MEDICAL CENTER,NY,Mid-Atlantic,"45TH AVENUE AND PARSONS BOULEVARD
FLUSHING, NY 11355
(40.755636, -73.815645)",40.755636,-73.815645,IL,Mid-Atlantic
3786,17.0,3.6,10.9,14.2,14.4,16.4,16.0,13.3,17.8,20.4,4.9,14.9,14.9,12.4,FLOWERS HOSPITAL,AL,South,"4370 WEST MAIN STREET
DOTHAN, AL 36305
(31.235991, -85.457937)",31.235991,-85.457937,TX,West
458,13.125,4.85,7.85,11.9,15.0,14.55,16.15,15.05,20.1,20.325,4.15,15.075,15.975,11.825,ST LUKES HOSPITAL,NC,South,"915 EAST 1ST STREET
DULUTH, MN 55805
(46.796341, -92.087899)",46.796341,-92.087899,MN,Midwest
2018,14.5,16.6,7.7,11.7,16.9,15.0,16.6,14.9,18.8,20.2,18.2,15.7,18.1,12.2,HARRISON COUNTY HOSPITAL,IN,Midwest,"1141 HOSPITAL DR NW
CORYDON, IN 47112
(38.23898, -86.14774)",38.23898,-86.14774,TX,South
2882,14.5,18.1,7.6,12.6,18.1,15.8,18.8,2.5,19.6,20.3,4.8,15.5,15.5,12.5,CAROLINAS HEALTHCARE SYSTEM STANLY,NC,South,"301 YADKIN ST
ALBEMARLE, NC 28001
(35.362605, -80.194374)",35.362605,-80.194374,MI,West
231,12.2,13.3,8.1,10.5,16.0,3.9,8.3,15.6,20.4,20.7,4.7,14.9,16.3,19.8,CAMBRIDGE MEDICAL CENTER,MN,Midwest,"701 SOUTH DELLWOOD AVENUE
CAMBRIDGE, MN 55008
(45.565587, -93.229247)",45.565587,-93.229247,TX,Midwest
504,12.4,11.1,6.4,12.1,14.2,14.4,16.3,16.8,18.0,24.2,4.5,15.5,18.6,10.9,BAYLOR SCOTT AND WHITE  MEDICAL CENTER  MCKINNEY,TX,South,"5252 WEST UNIVERSITY DRIVE
MC KINNEY, TX 75071
(33.218386, -96.680286)",33.218386,-96.680286,FL,South
3190,15.2,11.9,11.9,17.0,14.8,18.3,12.7,16.4,15.8,18.3,7.2,15.8,17.8,17.1,HODGEMAN COUNTY HEALTH CENTER,KS,Midwest,"809 BRAMLEY
JETMORE, KS 67854
(38.08356, -99.88307)",38.08356,-99.88307,ND,West
3262,12.2,15.9,8.7,12.8,22.7,13.9,14.3,17.3,19.5,21.2,4.3,15.1,15.0,12.6,SOUTH CENTRAL KS  MED CENTER,KS,Midwest,"6401 PATTERSON PARKWAY
ARKANSAS CITY, KS 67005
(37.134552, -97.039086)",37.134552,-97.039086,TX,South
3955,15.0,4.6,8.5,13.4,15.9,18.3,16.2,21.9,20.5,22.6,4.6,16.1,14.8,13.6,DOCTORS HOSPITAL OF SARASOTA,FL,South,"5731 BEE RIDGE RD
SARASOTA, FL 34233
(27.298975, -82.454848)",27.298975,-82.454848,MO,Midwest
2273,16.2,5.6,12.6,14.4,17.3,15.3,5.6,9.1,14.8,15.2,5.5,17.9,16.3,15.8,"CUBA MEMORIAL HOSPITAL, INC",NY,Mid-Atlantic,"140 WEST MAIN STREET
CUBA, NY 14727
(42.213341, -78.288139)",42.213341,-78.288139,TX,South
5108,7.2,17.1,7.6,13.0,19.5,13.9,16.6,4.9,20.5,23.1,19.5,15.2,16.6,6.9,MASONICARE HEALTH CENTER,CT,New England,"22 MASONIC AVE
WALLINGFORD, CT 06492
(41.459676, -72.83731)",41.459676,-72.83731,FL,South
807,13.6714285714,12.7571428571,8.29285714286,12.3785714286,16.3571428571,15.7785714286,14.9857142857,13.7928571429,19.1,21.3142857143,10.5142857143,15.3714285714,16.6714285714,13.3928571429,MEMORIAL HOSPITAL,NE,Midwest,"325 SOUTH BELMONT STREET
YORK, PA 17403
(39.967056, -76.69378)",39.967056,-76.69378,PA,Midwest
1610,16.8,16.8,16.8,16.8,12.9,12.9,12.9,12.9,12.9,12.9,12.9,15.6,17.2,17.2,SAGE MEMORIAL HOSPITAL,AZ,West,"STATE ROUTE 264 SOUTH 191 PO BOX 457
GANADO, AZ 86505
",,,TX,South
2702,14.6,2.9,9.0,13.6,18.8,15.4,17.3,12.3,20.2,23.7,4.3,15.6,18.5,12.2,SAINT AGNES MEDICAL CENTER,CA,West,"1303 E HERNDON AVE
FRESNO, CA 93710
(36.837102, -119.765878)",36.837102,-119.765878,PA,South
1825,17.6,6.3,7.2,14.7,16.4,6.7,4.3,2.6,19.7,19.3,20.6,15.7,16.9,11.9,HARRISON COMMUNITY HOSPITAL,OH,Midwest,"951 EAST MARKET STREET
CADIZ, OH 43907
(40.256786, -80.978267)",40.256786,-80.978267,TX,South
2314,13.8,8.5,9.1,11.8,16.2,16.7,4.0,16.3,21.8,20.8,15.7,15.3,15.7,21.0,LEWIS COUNTY GENERAL HOSPITAL,NY,Mid-Atlantic,"7785 NORTH STATE STREET
LOWVILLE, NY 13367
(43.795771, -75.49812)",43.795771,-75.49812,TX,West
3888,13.8,4.4,8.7,12.2,16.7,15.4,16.2,13.8,19.6,22.0,3.9,14.9,18.6,12.0,PRESBYTERIAN ST LUKES MEDICAL CENTER,CO,West,"1719 E 19TH AVE
DENVER, CO 80218
(39.746089, -104.967175)",39.746089,-104.967175,TX,Midwest
4320,12.6,21.7,8.6,11.0,16.4,16.8,16.8,14.8,21.1,21.9,7.9,14.8,16.1,12.5,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,AR,South,"1703 NORTH BUERKLE ST
STUTTGART, AR 72160
(34.518074, -91.557568)",34.518074,-91.557568,IL,Midwest
4784,14.2,8.4,9.8,12.0,23.2,20.3,16.9,15.2,20.6,22.7,22.2,15.3,17.0,3.5,SAINT THOMAS HIGHLANDS HOSPITAL,TN,South,"401 SEWELL DR
SPARTA, TN 38583
(35.948273, -85.47684)",35.948273,-85.47684,GA,South
2603,11.9,2.4,10.0,11.8,17.7,16.0,15.0,12.7,21.0,21.8,4.6,15.4,15.3,11.2,KAWEAH DELTA MEDICAL CENTER,CA,West,"400 W MINERAL KING AVE
VISALIA, CA 93291
(36.327415, -119.294172)",36.327415,-119.294172,GA,South
4464,14.5,7.3,7.9,13.3,15.8,16.4,19.4,13.4,22.8,24.6,4.8,16.7,18.3,11.3,SAINT CLARE'S HOSPITAL,NJ,Mid-Atlantic,"25 POCONO ROAD
DENVILLE, NJ 07834
(40.894376, -74.464479)",40.894376,-74.464479,FL,South
3396,12.0,18.7,7.4,10.3,15.2,17.0,15.1,19.6,20.1,22.2,12.7,15.7,16.8,12.9,ALLIANCEHEALTH SEMINOLE,OK,Midwest,"2401 WRANGLER BOULEVARD
SEMINOLE, OK 74868
(35.246463, -96.698962)",35.246463,-96.698962,OH,South
2303,17.4,12.6,9.6,14.8,17.2,21.3,13.8,11.5,20.3,22.8,13.8,15.1,17.7,13.3,"IRA DAVENPORT MEMORIAL HOSPITAL, INC",NY,Mid-Atlantic,"7571 STATE ROUTE 54
BATH, NY 14810
(42.37297, -77.278553)",42.37297,-77.278553,IL,South
2615,16.1,17.0,14.6,16.1,14.6,17.0,16.7,17.0,16.1,4.6,20.4,11.6,17.2,12.7,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,CA,West,"11234 ANDERSON STREET SUITE A
LOMA LINDA, CA 92354
(34.049507, -117.261117)",34.049507,-117.261117,MN,West
1588,18.8,16.2,9.6,12.4,19.5,18.2,5.2,13.2,19.6,22.4,4.7,14.9,16.6,16.4,MT. GRAHAM REGIONAL MEDICAL CENTER,AZ,West,"1600 SOUTH 20TH AVENUE
SAFFORD, AZ 85546
(32.821883, -109.732994)",32.821883,-109.732994,TX,South
551,13.6,13.1,8.2,12.2,16.7,15.4,20.2,16.2,19.9,22.0,4.3,15.4,15.9,22.0,CONNALLY MEMORIAL MEDICAL CENTER,TX,South,"499 10TH STREET
FLORESVILLE, TX 78114
(29.160296, -98.174097)",29.160296,-98.174097,TX,Midwest
2159,11.5,3.1,9.3,12.5,16.3,14.6,16.1,14.1,20.1,22.3,4.6,15.1,18.5,12.8,UNION HOSPITAL INC,IN,Midwest,"1606 N SEVENTH ST
TERRE HAUTE, IN 47804
(39.484862, -87.407085)",39.484862,-87.407085,PA,Midwest
3000,13.2,4.1,6.5,12.0,13.6,15.2,17.3,14.9,21.1,20.6,4.6,14.9,15.4,10.5,EXETER HOSPITAL INC,NH,New England,"5 ALUMNI DRIVE
EXETER, NH 03833
(42.983066, -70.934319)",42.983066,-70.934319,TX,Midwest
4983,6.9,16.2,8.3,11.7,16.1,5.0,15.9,18.3,20.2,23.0,16.2,16.1,17.6,11.9,ST LUKE COMMUNITY HOSPITAL,MT,West,"107 6TH AVE SW
RONAN, MT 59864
(47.528835, -114.106242)",47.528835,-114.106242,FL,Midwest
3603,16.6,14.6,7.6,20.2,15.3,12.4,15.5,3.9,20.3,15.5,15.8,15.8,16.7,15.4,CAVALIER COUNTY MEMORIAL HOSPITAL,ND,West,"909 2ND ST
LANGDON, ND 58249
(48.761243, -98.366661)",48.761243,-98.366661,TX,South
3725,15.1,2.9,9.3,12.6,16.9,15.5,18.2,14.9,19.0,21.5,4.5,15.4,16.0,11.6,ST CLARES HOSPITAL OF WESTON,WI,Midwest,"3400 MINISTRY PARKWAY
WESTON, WI 54476
(44.889675, -89.582214)",44.889675,-89.582214,TX,Midwest
3401,12.8,15.2,11.6,15.2,15.7,13.3,25.0,16.2,16.8,16.7,7.4,15.5,17.0,16.2,BEAVER COUNTY MEMORIAL HOSPITAL,OK,Midwest,"212 EAST 8TH STREET
BEAVER, OK 73932
(36.810195, -100.516425)",36.810195,-100.516425,TX,Midwest
2104,14.5571428571,10.8142857143,7.78571428571,12.1714285714,16.6714285714,15.2285714286,16.5714285714,15.4857142857,19.4571428571,21.0285714286,7.68571428571,15.6428571429,16.7428571429,11.6,ST JOSEPH HOSPITAL,ME,New England,"1 AMALIA DRIVE
BUCKHANNON, WV 26201
(38.991275, -80.236824)",38.991275,-80.236824,IN,Mid-Atlantic
3311,13.4,16.3,8.8,13.4,21.4,15.6,17.1,12.2,19.0,21.1,4.2,15.4,19.2,12.0,DELTA REGIONAL MEDICAL CENTER,MS,South,"1400 E UNION ST
GREENVILLE, MS 38704
(33.409906, -91.035329)",33.409906,-91.035329,TX,South
4186,17.1,13.7,6.4,12.4,13.9,12.4,7.8,13.2,19.9,20.1,20.2,15.4,17.6,12.3,BARROW REGIONAL MEDICAL CENTER,GA,South,"316 NORTH BROAD STREET
WINDER, GA 30680
(34.007701, -83.706706)",34.007701,-83.706706,TX,South
1615,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,15.7,15.7,15.7,SELLS INDIAN HEALTH SERVICE HOSPITAL,AZ,West,"PO BOX 548
SELLS, AZ 85634
",,,NE,Midwest
1767,12.8,2.3,7.5,12.5,14.4,15.0,15.0,15.2,19.6,20.4,4.9,14.3,15.5,11.9,AULTMAN HOSPITAL,OH,Midwest,"2600 SIXTH STREET SW
CANTON, OH 44710
(40.796852, -81.403575)",40.796852,-81.403575,TX,Midwest
1013,12.5,2.6,9.5,9.7,15.1,13.3,16.1,15.0,18.5,21.0,5.2,14.9,14.8,12.6,TEXAS HEALTH HUGULEY HOSPITAL FORT WORTH SOUTH,TX,South,"11801 SOUTH FREEWAY
BURLESON, TX 76028
(32.586544, -97.319104)",32.586544,-97.319104,TX,South
2334,12.1,1.9,6.3,9.8,15.6,12.3,17.6,13.5,21.1,23.4,5.4,15.5,17.2,14.3,MOUNT SINAI HOSPITAL,NY,Mid-Atlantic,"ONE GUSTAVE L LEVY PLACE
NEW YORK, NY 10029
",,,CA,West
782,13.6714285714,12.7571428571,8.29285714286,12.3785714286,16.3571428571,15.7785714286,14.9857142857,13.7928571429,19.1,21.3142857143,10.5142857143,15.3714285714,16.6714285714,13.3928571429,MEMORIAL HOSPITAL,KS,Midwest,"1204 MOUND ST
NACOGDOCHES, TX 75961
(31.612411, -94.649469)",31.612411,-94.649469,PA,Midwest
3649,13.8,11.5,8.1,11.8,16.1,16.6,19.2,3.3,18.8,22.7,4.7,14.2,18.3,12.8,AURORA MEDICAL CTR KENOSHA,WI,Midwest,"10400 75TH ST
KENOSHA, WI 53142
(42.567409, -87.936789)",42.567409,-87.936789,IL,Midwest
3738,15.9,8.0,9.2,16.9,16.5,17.9,21.0,14.2,21.4,8.5,14.6,15.6,15.9,19.5,THEDACARE MEDICAL CENTER - WILD ROSE INC,WI,Midwest,"601 GROVE AVE
WILD ROSE, WI 54984
(44.183166, -89.245647)",44.183166,-89.245647,TX,West
2343,12.4,2.8,8.0,12.5,17.5,12.5,16.6,15.5,19.0,24.8,4.0,17.2,19.4,16.6,NEW YORK-PRESBYTERIAN/QUEENS,NY,Mid-Atlantic,"56-45 MAIN STREET
FLUSHING, NY 11355
(40.747529, -73.826102)",40.747529,-73.826102,NY,South
3687,21.0,13.7,8.1,11.7,17.1,14.9,19.1,19.9,21.1,20.8,4.0,14.7,16.0,11.7,LAKEVIEW MEDICAL CENTER,WI,Midwest,"1700 WEST STOUT STREET
RICE LAKE, WI 54868
(45.508042, -91.759027)",45.508042,-91.759027,WA,Midwest
2215,20.7,10.0,12.3,21.7,14.6,18.5,19.6,18.5,2.0,17.2,15.8,15.2,15.7,17.6,NANTUCKET COTTAGE HOSPITAL,MA,New England,"57 PROSPECT STREET
NANTUCKET, MA 02554
(41.275217, -70.099848)",41.275217,-70.099848,OK,Midwest
1431,15.1,5.4,6.2,15.2,18.6,13.1,17.0,23.3,20.6,23.9,4.2,15.6,20.9,13.6,PROCTOR HOSPITAL,IL,Midwest,"5409 N KNOXVILLE AVE
PEORIA, IL 61614
(40.752496, -89.593254)",40.752496,-89.593254,CA,Mid-Atlantic
3680,11.8,4.8,8.8,14.0,16.6,14.7,8.0,16.6,20.2,21.8,11.4,14.9,17.2,12.0,HAYWARD AREA MEMORIAL HOSPITAL,WI,Midwest,"11040 N STATE RD 77
HAYWARD, WI 54843
(46.0354, -91.488465)",46.0354,-91.488465,LA,Midwest
2402,15.0,4.4,7.7,12.1,17.4,11.5,17.1,14.0,23.4,21.8,4.4,17.8,18.0,14.7,STATEN ISLAND UNIVERSITY HOSPITAL,NY,Mid-Atlantic,"475 SEAVIEW AVENUE
STATEN ISLAND, NY 10305
(40.584082, -74.087013)",40.584082,-74.087013,NY,South
3602,15.2,15.2,7.8,12.9,14.8,14.8,14.8,14.8,18.8,21.1,21.1,15.1,14.6,15.1,CARRINGTON HEALTH CENTER,ND,West,"PO BOX 461
CARRINGTON, ND 58421
",,,TX,Midwest
3364,14.7,10.7,9.5,16.2,18.9,18.3,4.3,18.5,21.6,23.6,15.1,16.6,19.1,15.9,PIONEER HEALTH SERVICES OF NEWTON,MS,South,"9421 EAST SIDE DRIVE EXTENSION, POB 299
NEWTON, MS 39345
(32.35651, -89.129301)",32.35651,-89.129301,NY,South
3273,13.45,16.6,11.5,11.45,20.0,14.75,16.0,17.8,20.35,16.2,10.8,16.0,18.85,14.15,SUMNER REGIONAL MEDICAL CENTER,KS,Midwest,"555 HARTSVILLE PIKE
GALLATIN, TN 37066
(36.391117, -86.434341)",36.391117,-86.434341,TN,South
3754,17.9,13.8,8.7,10.7,15.9,16.5,15.4,16.6,19.5,21.9,16.4,15.1,15.4,15.9,WHEATON FRANCISCAN HEALTHCARE FRANKLIN,WI,Midwest,"10101 SOUTH 27TH ST
FRANKLIN, WI 53132
(42.861865, -87.951672)",42.861865,-87.951672,TX,South
2378,14.5,16.6,8.8,12.6,19.2,14.4,16.6,16.8,19.5,23.1,4.0,14.7,19.2,12.5,SISTERS OF CHARITY HOSPITAL,NY,Mid-Atlantic,"2157 MAIN STREET
BUFFALO, NY 14214
(42.92917, -78.849916)",42.92917,-78.849916,AL,South
461,13.125,4.85,7.85,11.9,15.0,14.55,16.15,15.05,20.1,20.325,4.15,15.075,15.975,11.825,ST LUKES HOSPITAL,NC,South,"1026 A AVE NE
CEDAR RAPIDS, IA 52402
(41.985632, -91.659013)",41.985632,-91.659013,MN,Midwest
3662,14.2,2.7,12.4,14.5,19.3,15.3,15.9,14.5,16.5,18.0,5.6,14.1,16.6,12.2,BELOIT MEMORIAL HOSPITAL,WI,Midwest,"1969 W HART RD
BELOIT, WI 53511
(42.546758, -89.007548)",42.546758,-89.007548,TX,South
